"Credit_card","Product_ID","P_CATEGORY","CONDTION","Brand","Price ","Selling_price","Coupon_ID","Date","Time","GTIN","MPN","Merchant_name","M_ID","Payment method","Transaction ID","Return_ind","Return_date"
"4672","360","COMPUTERS","New","YEJZI","$4,119.44 ","$4,069.44 ","YJ313","26/09/2014","0:45:47","2113610","555791691","REI","EI6773","Mobile carrier Billing","73859","0",""
"6286","960","ELECTRONICS","New","CWTLA","$3,994.10 ","$3,946.10 ","BT328","01/06/2014","21:46:39","8111062","185723355","Walgreens","VW7193","Credit card","82630","0",""
"8523","145","CLOTHING","New","ZVYTC","$3,631.77 ","$3,605.77 ","JS237","30/04/2014","1:02:48","5414811","528268021","Nine West","RM9837","Paypal wallet","71091","0",""
"4818","784","APPLIANCES","Used","AVMAI","$2,053.24 ","$2,028.24 ","JT338","29/11/2014","14:28:54","3036806","156915837","Ulta","UO9656","Credit card","84181","0",""
"6224","702","COMPUTERS","New","YEJZI","$4,001.27 ","$3,963.27 ","GJ533","16/11/2014","19:33:58","3528993","598161913","Road Runner Sports","MS6579","Credit card","75342","0",""
"9725","765","DECOR","Refurbished","ZACKV","$356.18 ","$335.18 ","EZ957","17/04/2014","21:48:39","7601389","629607052","The Vitamin Shoppe","HW9975","Mobile carrier Billing","85611","0",""
"1177","644","CLOTHING","Used","KXUWE","$623.05 ","$588.05 ","HX425","19/11/2014","16:15:09","1844087","586598084","Staples","VN6655","Prepaid card","82065","0",""
"1418","544","ELECTRONICS","Used","FMBZC","$781.93 ","$743.93 ","AL760","03/06/2014","13:49:38","8964778","120284338","Peninsula Beauty","YE5901","Prepaid card","19626","0",""
"7075","183","LUGGAGE","New","CENQJ","$404.74 ","$380.74 ","MH537","29/03/2014","15:33:37","1239814","331834347","The North Face","GH6872","Mobile carrier Billing","53155","0",""
"7412","827","KITCHEN & DINING","New","NSILF","$2,213.77 ","$2,195.77 ","","27/09/2014","23:21:51","4668718","918674934","L'Occitane","GN4304","Credit card","5598","0",""
"7433","762","OFFICE SUPPLIES","New","EVWJY","$692.85 ","$654.85 ","YD453","02/09/2014","20:37:35","4891673","709070762","Road Runner Sports","MS6581","Mobile carrier Billing","26984","0",""
"3965","183","BABY CLOTHING","Used","CTAOI","$2,042.68 ","$2,009.68 ","DE570","01/02/2014","16:47:27","6011766","559130439","L'Occitane","GN3944","Credit card","65186","0",""
"6502","594","APPLIANCES","Used","BUDLO","$3,629.75 ","$3,597.75 ","YR864","24/03/2014","10:04:37","4278536","198305150","Ulta","UO9656","Credit card","43935","0",""
"4326","151","COMPUTERS","New","DCJRW","$1,363.08 ","$1,339.08 ","EG205","03/10/2014","8:29:35","2513765","270390509","Barnes & Noble","EY1660","Mobile carrier Billing","91405","0",""
"1256","996","CLOTHING","Refurbished","ONKHS","$710.38 ","$667.38 ","TR157","08/12/2014","8:14:51","6787097","643030205","Right Start","IQ1508","Mobile carrier Billing","94922","0",""
"9532","816","DECOR","New","DGWZG","$1,050.51 ","$1,029.51 ","RR733","30/01/2014","0:07:01","2952408","102439656","Guitar Center","GN4169","Credit card","9921","0",""
"9940","662","ELECTRONICS","Refurbished","FMBZC","$1,281.30 ","$1,261.30 ","FG680","11/08/2014","15:25:02","7614531","620787160","Barnes & Noble","EY1659","Credit card","91202","0",""
"2028","763","DECOR","Refurbished","LBVIW","$4,943.44 ","$4,917.44 ","AL726","20/04/2014","18:52:56","2606394","285432622","Right Start","IQ1509","Credit card","35133","0",""
"3598","607","ELECTRONICS","New","AGSDS","$1,968.00 ","$1,952.00 ","YT816","06/01/2014","5:03:51","1497716","686389451","Gymboree","ZF8986","Mobile carrier Billing","20729","0",""
"7653","554","SHOES","New","RKFCM","$3,461.72 ","$3,427.72 ","IG106","27/02/2014","10:12:17","7253173","238280990","Guitar Center","GN4079","Credit card","78527","0",""
"4336","136","KITCHEN & DINING","New","NSILF","$4,019.79 ","$3,970.79 ","KZ288","25/02/2014","15:22:35","9116840","721197511","Nine West","RM9837","Credit card","79832","0",""
"7210","360","DECOR","Used","DGWZG","$438.77 ","$407.77 ","ZO974","16/01/2014","11:17:22","2875665","938560684","DFLOWERS","ZG2587","Credit card","94773","0",""
"2377","162","DECOR","New","ZACKV","$4,551.18 ","$4,532.18 ","PX788","22/08/2014","16:57:28","7134950","512418560","Cole Hardware","EX7729","Credit card","73151","0",""
"8772","484","APPLIANCES","Used","BUDLO","$986.46 ","$939.46 ","QC567","13/02/2014","9:53:35","4116313","592580070","Guitar Center","GN4349","Prepaid card","5828","0",""
"9699","260","DECOR","Refurbished","DGWZG","$1,623.34 ","$1,574.34 ","LK308","16/01/2014","20:15:45","1622849","219336044","Nob Hill Foods","KL2558","Credit card","51558","0",""
"4139","534","DECOR","Refurbished","ZACKV","$4,981.73 ","$4,942.73 ","FU981","29/09/2014","21:56:13","1166080","907961267","Ulta","UO9656","Mobile carrier Billing","40788","1","10/6/14"
"4284","616","OFFICE SUPPLIES","Used","EVWJY","$1,011.90 ","$975.90 ","HC346","04/11/2014","13:59:33","1788769","447025179","Cole Hardware","EX7730","Mobile carrier Billing","7283","0",""
"1418","702","DECOR","New","LBVIW","$2,471.36 ","$2,422.36 ","WQ526","07/01/2014","20:50:16","8831231","600720776","Walgreens","VW7192","Credit card","14006","0",""
"4807","912","SHOES","New","VKKEA","$2,230.61 ","$2,185.61 ","MX939","21/03/2014","13:30:12","2270500","319921762","Walgreens","VW7192","Prepaid card","63927","0",""
"7861","781","SHOES","New","VKKEA","$2,280.16 ","$2,232.16 ","","25/11/2014","1:54:23","9026102","545935277","Cole Hardware","EX7729","Paypal wallet","92970","0",""
"9210","572","KITCHEN & DINING","New","ZGHYW","$3,905.61 ","$3,868.61 ","PG199","30/10/2014","11:03:53","7868477","319087468","Guitar Center","GN3989","Credit card","56189","0",""
"3723","311","BABY TOYS","New","LATFL","$3,128.36 ","$3,093.36 ","UE239","25/07/2014","22:22:49","5392397","763555480","DODOcase","UW7355","Credit card","22047","0",""
"7861","622","BABY TOYS","New","GOZLI","$2,603.49 ","$2,558.49 ","WM316","17/01/2014","20:53:31","3194054","448720600","L'Occitane","GN3944","Credit card","5059","0",""
"9033","141","BABY CLOTHING","Refurbished","TPDLE","$849.05 ","$802.05 ","CP200","25/01/2014","12:42:57","1345213","978258265","Ulta","UO9656","Mobile carrier Billing","55204","0",""
"2067","552","APPLIANCES","Used","TTNTN","$953.33 ","$939.33 ","EG248","01/09/2014","22:58:10","5798321","624027960","REI","EI6774","Mobile carrier Billing","91068","0",""
"3500","484","OFFICE SUPPLIES","Used","WELZA","$2,205.71 ","$2,171.71 ","JA497","25/12/2014","11:05:39","2746288","990439366","Peninsula Beauty","YE5901","Prepaid card","51383","0",""
"5481","662","ELECTRONICS","Refurbished","FMBZC","$1,281.30 ","$1,239.30 ","ZA997","21/07/2014","11:28:13","5532035","707689565","Barnes & Noble","EY1659","Mobile carrier Billing","43182","0",""
"9532","670","GAMES","Used","KJOGG","$2,461.84 ","$2,446.84 ","GT396","09/08/2014","11:58:18","6962219","182143144","Ulta","UO9659","Mobile carrier Billing","22451","0",""
"9566","622","COMPUTERS","Refurbished","GCVNE","$1,429.88 ","$1,382.88 ","TE706","02/08/2014","14:11:42","2093240","363570786","Staples","VN6655","Mobile carrier Billing","84552","0",""
"2028","775","BABY TOYS","Refurbished","CTAOI","$379.49 ","$366.49 ","QS983","15/11/2014","6:10:01","7089347","571064250","Guitar Center","GN3989","Mobile carrier Billing","28186","0",""
"4632","198","KITCHEN & DINING","Refurbished","RGMIK","$3,643.75 ","$3,614.75 ","WC569","01/04/2014","17:33:04","6450875","780878666","Nine West","RM9837","Mobile carrier Billing","74763","0",""
"1808","141","COMPUTERS","New","GCVNE","$3,571.93 ","$3,550.93 ","DK393","14/02/2014","2:29:51","5130214","133458289","Staples","VN6656","Credit card","54872","0",""
"4595","931","LUGGAGE","Used","CENQJ","$334.55 ","$312.55 ","GQ188","04/04/2014","17:00:44","7423046","550503801","Peninsula Beauty","YE5901","Credit card","94444","0",""
"5850","781","OFFICE SUPPLIES","Refurbished","EVWJY","$3,890.76 ","$3,865.76 ","IB218","03/04/2014","8:31:33","8354844","585152643","The Vitamin Shoppe","HW9975","Mobile carrier Billing","2353","0",""
"7075","670","GAMES","New","KJOGG","$3,155.29 ","$3,110.29 ","FS254","06/09/2014","2:19:44","8548932","437773150","Staples","VN6655","Prepaid card","29669","0",""
"9063","236","SHOES","New","RKFCM","$3,057.74 ","$3,022.74 ","AH821","11/06/2014","2:47:47","2642553","632700772","Barnes & Noble","EY1660","Mobile carrier Billing","65253","0",""
"9699","687","SHOES","Used","RKFCM","$3,827.74 ","$3,804.74 ","QO985","11/11/2014","22:41:06","3262610","796270769","PetSmart","IB7024","Mobile carrier Billing","26644","0",""
"3723","922","LUGGAGE","Refurbished","TNVON","$1,567.45 ","$1,519.45 ","WQ964","24/04/2014","23:01:35","4398531","454482760","PetSmart","IB7024","Mobile carrier Billing","17947","0",""
"9029","844","COMPUTERS","Used","GCVNE","$3,551.26 ","$3,539.26 ","NH132","31/12/2014","18:51:24","2572895","748825423","The North Face","GH6873","Prepaid card","8506","0",""
"9699","844","COMPUTERS","Used","GCVNE","$3,551.26 ","$3,541.26 ","XK129","12/04/2014","23:55:07","7499377","216197798","The North Face","GH6873","Mobile carrier Billing","62884","0",""
"3199","484","OFFICE SUPPLIES","Used","WELZA","$2,205.71 ","$2,171.71 ","GH952","16/02/2014","23:19:29","3121131","531347974","Peninsula Beauty","YE5901","Prepaid card","44491","1","2/23/14"
"3613","484","OFFICE SUPPLIES","Used","WELZA","$2,205.71 ","$2,179.71 ","OG531","11/10/2014","19:28:07","6421341","965250593","Peninsula Beauty","YE5901","Prepaid card","72315","0",""
"4645","200","DECOR","Refurbished","QHIYO","$59.63 ","$46.63 ","LM442","01/09/2014","8:51:00","4852258","249117031","L'Occitane","GN4034","Mobile carrier Billing","55781","0",""
"4733","579","COMPUTERS","Refurbished","GCVNE","$1,435.77 ","$1,413.77 ","GI597","01/07/2014","3:07:03","8225682","534106493","The Vitamin Shoppe","HW9979","Debit card","34258","0",""
"7589","816","DECOR","New","DGWZG","$1,050.51 ","$1,026.51 ","ID512","14/05/2014","12:37:22","1145295","743613289","Guitar Center","GN4169","Credit card","68838","0",""
"2172","449","SHOES","New","MQSLF","$2,375.92 ","$2,329.92 ","CT153","03/10/2014","2:13:08","9851944","840435165","Gymboree","ZF8986","Credit card","95810","0",""
"5481","119","OFFICE SUPPLIES","Refurbished","EVWJY","$3,130.29 ","$3,101.29 ","BD237","21/02/2014","13:01:03","7237424","860407762","Gymboree","ZF8986","Mobile carrier Billing","16960","0",""
"5974","616","OFFICE SUPPLIES","Used","EVWJY","$1,011.90 ","$965.90 ","BW204","15/05/2014","11:03:32","1339637","530005398","Cole Hardware","EX7730","Mobile carrier Billing","16782","0",""
"6105","970","LUGGAGE","Refurbished","CENQJ","$635.56 ","$595.56 ","","14/11/2014","23:44:34","9099199","658294814","Peninsula Beauty","YE5901","Mobile carrier Billing","50322","0",""
"9086","343","OFFICE SUPPLIES","Refurbished","WELZA","$2,882.87 ","$2,846.87 ","KR632","20/11/2014","3:26:43","4252777","921618131","Cole Hardware","EX7730","Credit card","68750","0",""
"4358","752","CLOTHING","Used","GTFFL","$625.61 ","$598.61 ","QA581","30/01/2014","9:25:20","1613105","709270217","Barnes & Noble","EY1660","Credit card","87962","0",""
"3175","195","COMPUTERS","Refurbished","GCVNE","$4,641.79 ","$4,619.79 ","OR409","18/01/2014","22:47:32","6013750","388218214","Barnes & Noble","EY1658","Prepaid card","40217","0",""
"7991","136","KITCHEN & DINING","New","NSILF","$4,019.79 ","$4,006.79 ","UU646","23/02/2014","0:11:52","9338093","124589952","Nine West","RM9837","Paypal wallet","3913","0",""
"9725","396","LUGGAGE","New","TNVON","$1,452.50 ","$1,408.50 ","YK470","29/11/2014","14:11:00","8810256","327619429","DODOcase","UW7354","Prepaid card","68047","0",""
"7589","694","OFFICE SUPPLIES","New","EVWJY","$3,695.96 ","$3,665.96 ","SP458","03/12/2014","19:28:49","2251104","859574535","Guitar Center","GN3989","Gift card","44493","0",""
"7991","737","GAMES","Used","KJOGG","$733.21 ","$683.21 ","SO680","29/03/2014","13:34:04","8671750","924483311","Guitar Center","GN3989","Credit card","68433","0",""
"9086","535","GAMES","Refurbished","EITXF","$3,032.65 ","$3,015.65 ","WF512","19/11/2014","22:05:17","8413589","418674826","L'Occitane","GN3944","Prepaid card","66128","0",""
"1896","324","ELECTRONICS","New","AGSDS","$2,132.96 ","$2,104.96 ","QE364","24/04/2014","16:32:59","9623187","493345170","DODOcase","UW7356","Mobile carrier Billing","2081","0",""
"5081","810","BABY CLOTHING","Used","GOZLI","$2,099.17 ","$2,086.17 ","YI440","17/03/2014","22:18:41","8365171","511279623","DODOcase","UW7357","Mobile carrier Billing","25692","0",""
"5570","827","ELECTRONICS","New","OULOW","$2,830.51 ","$2,806.51 ","TI688","15/05/2014","17:56:30","8120427","683180094","Gymboree","ZF8986","Credit card","72969","0",""
"1896","765","DECOR","New","ZACKV","$4,557.18 ","$4,521.18 ","HM203","10/10/2014","23:27:44","5374655","420577814","Costco","GW8247","Credit card","73296","0",""
"2744","702","APPLIANCES","Refurbished","BUDLO","$4,042.54 ","$4,027.54 ","DK976","04/02/2014","22:33:44","9312971","656405085","REI","EI6773","Mobile carrier Billing","47896","1","2/11/14"
"3833","395","OFFICE SUPPLIES","New","WELZA","$2,909.68 ","$2,867.68 ","UZ413","16/04/2014","16:48:19","9235525","204303273","DODOcase","UW7356","Credit card","59696","0",""
